Vitglobal.com - eRuido DBAMonitor DataLogging File
System started at 	2022-09-29T14:27:26
Datalogging started at 	2022-09-30T14:39:11
LAEq1s,LCEq1s,LASlow,LASMax,Temperature,Humidity,Windspeed,Winddir,DateTime
26.7662,53.9274,26.2563,26.2911,,,-1,-1,2022-09-30T14:44:28
25.5896,49.1942,25.7776,26.2597,,,-1,-1,2022-09-30T14:44:29
25.0902,50.6887,25.334,25.8294,,,-1,-1,2022-09-30T14:44:30
25.711,54.1602,25.5628,25.5963,,,-1,-1,2022-09-30T14:44:31
26.1281,53.3223,26.0803,26.0803,,,-1,-1,2022-09-30T14:44:32
27.1195,56.1155,26.6064,26.9484,,,-1,-1,2022-09-30T14:44:33
24.8799,53.5949,25.576,26.5747,,,-1,-1,2022-09-30T14:44:34
25.4348,52.6184,25.589,25.589,,,-1,-1,2022-09-30T14:44:35
25.8095,56.0994,25.6811,25.8024,,,-1,-1,2022-09-30T14:44:36
24.5308,50.6025,24.9766,25.6649,,,-1,-1,2022-09-30T14:44:37
